No;Kab/Kota;AKB;PKM;ASI;LS;AIR;JAMBAN;MISKIN;PKPT
1;Bangkalan;59.21;51.36;1.06;4.65;89.58;22.05;32.02;6.78
2;Banyuwangi;43.3;85.81;2.2;6.82;80.35;44.24;12.18;13.25
3;Blitar;24.8;93.86;3.31;7.14;92.52;49.7;13.1;10.53
4;Bojonegoro;40.76;78.05;3.05;6.24;94.16;30.38;22.98;10.94
5;Bondowoso;58.02;61.85;2.3;5.32;86.39;21.84;19.58;6.31
6;Gresik;27.09;96.91;2.44;8.25;86.47;70.78;14.86;26.19
7;Jember;58.47;58.48;1.81;6.03;88;31.82;12.69;9.03
8;Jombang;28.69;93.85;2.51;7.61;95.79;60.34;15.15;9.52
9;Kediri;33.17;94.61;3.75;7.2;95.05;57.44;18.26;8.87
10;Kota Batu;31.38;97.14;3.84;8.48;98.53;70.79;7.14;13.61
11;Kota Blitar;22.39;97.39;3.65;9.8;95.47;77.47;6.14;10.05
12;Kota Kediri;30.1;99.53;3.23;9.89;99.84;75.08;6.66;189.81
13;Kota Madiun;27.75;99.36;3.26;10.09;97.96;95.47;5.07;12.97
14;Kota Malang;29.49;96.56;2.86;10.48;98.64;73.87;4.19;31.28
15;Kota Mojokerto;24.66;98.4;2.33;9.69;99.68;90.22;8.5;21.51
16;Kota Pasuruan;41.68;94.96;2.87;8.71;99.07;69.89;12.06;12.8
17;Kota Probolinggo;31.18;85.73;3.4;8.09;98.91;67.11;9.9;17.89
18;Kota Surabaya;29.37;95.82;2.29;10.07;99.55;95.45;8.65;62.08
19;Lamongan;37.72;97.75;2.25;7.09;82.22;62.63;22.01;7.36
20;Lumajang;42.88;84.96;2.75;6;93.3;21.84;17.59;11.69
21;Madiun;34.86;96.75;3.19;7.32;95.82;58.17;15.45;7.99
22;Magetan;28.82;95.69;2.59;7.61;95.45;67.24;12.79;9.86
23;Mojokerto;30.67;96.94;2.54;7.51;95.16;60.81;13.58;12.26
24;Nganjuk;37.67;93.74;3;7.27;94.16;48.4;22.63;9.12
25;Ngawi;32.52;93.79;3.1;6.21;95.6;35.09;23.86;7.29
26;Pacitan;24.46;85.63;3.04;6.73;83.44;32.37;19.79;5.06
27;Pemkasan;57.89;67.13;1.56;6.02;88.87;27.62;35.73;5.1
28;Pasuruan;59.48;75.43;1.43;6.54;87.49;46.33;19.24;9.34
29;Ponorogo;31.41;90.32;3.16;6.57;93.36;53.72;10.68;6.83
30;Probolinggo;69.14;65.55;1.07;5.28;81.94;14.47;19.06;12.48
31;Sampang;65.46;46.67;0.65;3.8;73.27;18.97;46.11;5.59
32;Sidoarjo;30.51;99.33;2.46;9.48;97.37;69.67;9.65;29.29
33;Situbondo;62.25;65.89;1.58;5.48;84.78;17.51;16.84;11.69
34;Sumenep;50.72;54.06;1.89;5.25;89.89;16.9;31.06;9.96
35;Trenggalek;24.13;86.25;3.4;7.14;77.8;45.3;15.28;5.56
36;Tuban;39.9;86.29;3.34;6.15;93.64;34.66;25.23;12.22
37;Tulungagung;25.38;95.9;3.59;7.48;91.43;58.96;9.97;14.49
38;Malang;38.72;85.36;2.37;6.66;95.2;53.84;17.25;11.43
